Joints
100
,,nathaniel:Thigh_Shank,,,nathaniel:World_Thigh,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,mm,mm,mm
197,0,20.9254,12.1883,-50.0789,80.297,-8.32872,-47.6256,-69.4933,693.872,221.41
198,0,20.786,11.7443,-49.4958,80.5353,-8.10774,-47.7125,-69.151,692.166,220.307
199,0,20.6394,11.3012,-48.9405,80.7696,-7.86281,-47.7992,-68.872,690.426,219.171
200,0,20.5213,10.8996,-48.4387,80.9941,-7.65072,-47.8809,-68.5338,688.593,217.935
201,0,20.371,10.4715,-47.9148,81.2402,-7.42566,-47.9606,-68.2127,686.789,216.725
202,0,20.1982,10.0283,-47.3769,81.4934,-7.19905,-48.0364,-67.9049,685.018,215.483
203,0,20.0515,9.64559,-46.8872,81.7509,-6.98651,-48.1381,-67.5452,683.235,214.202
204,0,19.9114,9.25713,-46.3903,82.0179,-6.75902,-48.2125,-67.2705,681.557,212.88
205,0,19.7871,8.88224,-45.9147,82.3087,-6.55188,-48.2526,-66.9899,679.935,211.538
206,0,19.6575,8.48272,-45.4017,82.6373,-6.33082,-48.2813,-66.7156,678.371,210.218
207,0,19.5327,8.0919,-44.9006,82.95,-6.08837,-48.3218,-66.5267,676.793,208.851
208,0,19.412,7.71389,-44.4101,83.2754,-5.85743,-48.3458,-66.3431,675.217,207.485
209,0,19.309,7.33563,-43.9067,83.6146,-5.59058,-48.3799,-66.2375,673.667,206.061
210,0,19.1951,6.96064,-43.4481,83.9331,-5.33916,-48.4098,-66.1109,672.072,204.571
211,0,19.0929,6.6019,-43.0068,84.2587,-5.10088,-48.4246,-65.9672,670.482,203.014
212,0,18.9457,6.19929,-42.5148,84.6146,-4.85219,-48.44,-65.8139,668.895,201.456
213,0,18.8342,5.85867,-42.0876,84.9361,-4.60287,-48.48,-65.6347,667.307,199.883
214,0,18.9607,5.81356,-41.8947,85.2645,-4.33993,-48.5248,-65.4837,665.745,198.337
215,0,18.5891,5.20549,-41.2455,85.639,-4.18401,-48.5219,-65.0547,664.23,196.818
216,0,18.4804,4.89218,-40.8221,86.004,-3.98043,-48.5429,-64.6684,662.782,195.294
217,0,18.3925,4.60628,-40.434,86.3432,-3.70596,-48.5791,-64.4784,661.417,193.808
218,0,18.2848,4.28009,-40.0089,86.707,-3.41292,-48.6111,-64.2912,660.14,192.407
219,0,18.1953,3.99696,-39.6358,87.0091,-3.1384,-48.7142,-64.0176,658.776,190.89
220,0,18.1016,3.67698,-39.2436,87.3453,-2.85483,-48.7756,-63.7815,657.475,189.465
221,0,18.0253,3.38759,-38.8516,87.6743,-2.55494,-48.8674,-63.4973,656.157,187.999
222,0,17.921,3.07909,-38.4775,87.9939,-2.31724,-48.9279,-63.1319,654.794,186.542
